Base,Tool,minAnalysisTime,maxAnalysisTime,avgAnalysisTime,FailureRate
TestSet,MAIAN,,,,
TestSet,Mythril,,,,
TestSet,Semgrep,,,,
TestSet,Slither,,,,
TestSet,Solhint,,,,
TestSet,VeriSmart,,,,
