filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
MyData/C8k_set1/0xdbd750f72a00d01f209ffc6c75e80301efc789c1.sol,0xdbd750f72a00d01f209ffc6c75e80301efc789c1.sol,maian,solidity,2022/11/11,20240128_1920,1706479297.8566577,77.9903609752655,0,{},{},"{Contract (cli) does NOT exist,Contract (standard does NOT exist,Contract 1 does NOT exist,Contract CompilerError: does NOT exist,Contract JSON) does NOT exist,""Contract Otherwise, does NOT exist"",Contract Stack does NOT exist,Contract Try does NOT exist,Contract Variable does NOT exist,Contract When does NOT exist,Contract `--via-ir` does NOT exist,Contract `viaIR: does NOT exist,Contract assembly: does NOT exist,Contract compiling does NOT exist,Contract deep does NOT exist,Contract deep. does NOT exist,Contract enabling does NOT exist,Contract equivalent does NOT exist,Contract headStart does NOT exist,Contract inline does NOT exist,Contract inside does NOT exist,Contract is does NOT exist,Contract local does NOT exist,Contract optimizer. does NOT exist,Contract or does NOT exist,Contract removing does NOT exist,Contract slot(s) does NOT exist,Contract stack. does NOT exist,Contract the does NOT exist,Contract too does NOT exist,Contract true` does NOT exist,Contract try does NOT exist,Contract variables. does NOT exist,Contract while does NOT exist,Contract with does NOT exist}",{}
MyData/C8k_set1/0xdfae3da4e1c6aa15866902c9e1e183a11f5abdf0.sol,0xdfae3da4e1c6aa15866902c9e1e183a11f5abdf0.sol,maian,solidity,2022/11/11,20240128_1920,1706479678.6371648,32.69308066368103,0,{},{},{Cannot compile the contract},{}
MyData/C8k_set1/0xdfb29501b42f63a947ddc5249f185d6bcbe6986f.sol,0xdfb29501b42f63a947ddc5249f185d6bcbe6986f.sol,maian,solidity,2022/11/11,20240128_1920,1706474828.6309776,157.89051699638367,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
MyData/C8k_set1/0xe0c839d60f15dd0b939e93d9eeab5ecda9affe57.sol,0xe0c839d60f15dd0b939e93d9eeab5ecda9affe57.sol,maian,solidity,2022/11/11,20240128_1920,1706470656.7395406,118.9937515258789,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
MyData/C8k_set1/0xe507fa8e2bc6e31600a1d2d23e09285c9101a70e.sol,0xe507fa8e2bc6e31600a1d2d23e09285c9101a70e.sol,maian,solidity,2022/11/11,20240128_1920,1706475093.1737099,345.18725776672363,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{Unknown operation},{}
MyData/C8k_set1/0xe60bff4746c1accbccfc8dc46fbc0dcaa9552e61.sol,0xe60bff4746c1accbccfc8dc46fbc0dcaa9552e61.sol,maian,solidity,2022/11/11,20240128_1920,1706486869.0668476,263.39848160743713,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},"{""when sending a str, it must be a hex string. Got: '0x61014060405""}",{}
MyData/C8k_set1/0xe66be87630b72480fa938ae73946d809c23943f5.sol,0xe66be87630b72480fa938ae73946d809c23943f5.sol,maian,solidity,2022/11/11,20240128_1920,1706485024.777763,32.19242596626282,0,{},{},{Cannot compile the contract},{}
MyData/C8k_set1/0xe72f966f246ed0ae8547b860f0a72c0b8a554eeb.sol,0xe72f966f246ed0ae8547b860f0a72c0b8a554eeb.sol,maian,solidity,2022/11/11,20240128_1920,1706480593.4678037,228.59627842903137,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
MyData/C8k_set1/0xe87138a1ade9b6fe6dcf60b3a65c1f5e62a1f708.sol,0xe87138a1ade9b6fe6dcf60b3a65c1f5e62a1f708.sol,maian,solidity,2022/11/11,20240128_1920,1706479743.9858265,220.71099090576172,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
MyData/C8k_set1/0xeFAEbd2bBDE537dc14fA2Ab217248e6c066d1a3c.sol,0xeFAEbd2bBDE537dc14fA2Ab217248e6c066d1a3c.sol,maian,solidity,2022/11/11,20240128_1920,1706478277.9639118,235.77836775779724,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},"{Unknown operation,""when sending a str, it must be a hex string. Got: '0x60c06040526""}",{}
MyData/C8k_set1/0xeace2ac2ebb0fa433217f077156b3928a52a9a7a.sol,0xeace2ac2ebb0fa433217f077156b3928a52a9a7a.sol,maian,solidity,2022/11/11,20240128_1920,1706470911.1710918,129.3651111125946,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
MyData/C8k_set1/0xec66b54722ab45ad874597a48915fca41b00b8aa.sol,0xec66b54722ab45ad874597a48915fca41b00b8aa.sol,maian,solidity,2022/11/11,20240128_1920,1706483114.001966,150.27067303657532,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
MyData/C8k_set1/0xedd6cada988519b0fcab164eaf964757e0c4c18c.sol,0xedd6cada988519b0fcab164eaf964757e0c4c18c.sol,maian,solidity,2022/11/11,20240128_1920,1706471457.246088,117.69155311584473,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},"{Unknown operation,""when sending a str, it must be a hex string. Got: '0x60806040523""}",{}
MyData/C8k_set1/0xf03E8FE4D5733D562C491825f1c975Bd9bA90455.sol,0xf03E8FE4D5733D562C491825f1c975Bd9bA90455.sol,maian,solidity,2022/11/11,20240128_1920,1706475659.4708102,155.1656196117401,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
MyData/C8k_set1/0xf5F62C527a2D6685dcE359B8A337cc53b303b5CE.sol,0xf5F62C527a2D6685dcE359B8A337cc53b303b5CE.sol,maian,solidity,2022/11/11,20240128_1920,1706476370.5907083,532.3441915512085,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{Unknown operation},{}
MyData/C8k_set1/0xf8Bb91817A960C3e23AE8ae75dE1C070Faee0823.sol,0xf8Bb91817A960C3e23AE8ae75dE1C070Faee0823.sol,maian,solidity,2022/11/11,20240128_1920,1706472586.6262465,254.18663048744202,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
MyData/C8k_set1/0xfc3DEd3B02c0B58089A9B5d13772DBe1496F91eC.sol,0xfc3DEd3B02c0B58089A9B5d13772DBe1496F91eC.sol,maian,solidity,2022/11/11,20240128_1920,1706478513.749779,88.02410006523132,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
MyData/C8k_set1/0xfe2c12ab95666d9c54a094b1a45a9ca526789efa.sol,0xfe2c12ab95666d9c54a094b1a45a9ca526789efa.sol,maian,solidity,2022/11/11,20240128_1920,1706481363.0509174,167.655846118927,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
