Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
SBcurated.csv,Reentrancy,True,True,12,62,19,3,0.8,0.3870967741935484
SBcurated.csv,Access Control,True,True,13,33,50,0,1.0,0.20634920634920634
SBcurated.csv,Arithmetic,True,True,10,59,24,3,0.7692307692307693,0.29411764705882354
SBcurated.csv,Unchecked Return Values,True,True,35,45,16,0,1.0,0.6862745098039216
SBcurated.csv,DoS,True,True,2,76,16,2,0.5,0.1111111111111111
SBcurated.csv,Bad Randomness,True,True,5,84,6,1,0.8333333333333334,0.45454545454545453
SBcurated.csv,Front-Running,True,False,0,1,0,0,,
SBcurated.csv,Time manipulation,True,True,4,78,14,0,1.0,0.2222222222222222
SBcurated.csv,Short Address Attack,True,False,0,1,0,0,,
