Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
SBcurated.csv,Reentrancy,True,False,0,61,0,10,0.0,
SBcurated.csv,Access Control,True,True,10,46,13,2,0.8333333333333334,0.43478260869565216
SBcurated.csv,Arithmetic,True,True,10,38,23,0,1.0,0.30303030303030304
SBcurated.csv,Unchecked Return Values,True,False,0,45,0,26,0.0,
SBcurated.csv,DoS,True,False,0,67,0,4,0.0,
SBcurated.csv,Bad Randomness,True,False,0,67,0,4,0.0,
SBcurated.csv,Front-Running,True,False,0,68,0,3,0.0,
SBcurated.csv,Time manipulation,True,False,0,69,0,2,0.0,
SBcurated.csv,Short Address Attack,True,False,0,71,0,0,,
