Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
SBcurated.csv,Reentrancy,True,True,0,83,0,14,0.0,
SBcurated.csv,Access Control,True,True,1,83,0,13,0.07142857142857142,1.0
SBcurated.csv,Arithmetic,True,True,0,84,0,13,0.0,
SBcurated.csv,Unchecked Return Values,True,True,0,62,0,35,0.0,
SBcurated.csv,DoS,True,True,0,93,0,4,0.0,
SBcurated.csv,Bad Randomness,True,True,1,91,0,5,0.16666666666666666,1.0
SBcurated.csv,Front-Running,True,False,0,93,0,4,0.0,
SBcurated.csv,Time manipulation,True,True,1,93,0,3,0.25,1.0
SBcurated.csv,Short Address Attack,True,False,0,96,0,1,0.0,
