Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
SBcurated.csv,Reentrancy,True,True,0,67,14,15,0.0,0.0
SBcurated.csv,Access Control,True,True,4,81,2,9,0.3076923076923077,0.6666666666666666
SBcurated.csv,Arithmetic,True,True,0,82,1,13,0.0,0.0
SBcurated.csv,Unchecked Return Values,True,True,33,47,14,2,0.9428571428571428,0.7021276595744681
SBcurated.csv,DoS,True,True,1,88,4,3,0.25,0.2
SBcurated.csv,Bad Randomness,True,True,1,87,3,5,0.16666666666666666,0.25
SBcurated.csv,Front-Running,True,False,0,0,0,0,,
SBcurated.csv,Time manipulation,True,True,4,84,8,0,1.0,0.3333333333333333
SBcurated.csv,Short Address Attack,True,False,0,0,0,0,,
