Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
SBcurated.csv,Reentrancy,True,True,0,81,0,15,0.0,
SBcurated.csv,Access Control,True,True,1,83,0,12,0.07692307692307693,1.0
SBcurated.csv,Arithmetic,True,True,0,83,0,13,0.0,
SBcurated.csv,Unchecked Return Values,True,False,0,61,0,35,0.0,
SBcurated.csv,DoS,True,False,0,92,0,4,0.0,
SBcurated.csv,Bad Randomness,True,True,0,89,1,6,0.0,0.0
SBcurated.csv,Front-Running,True,False,0,92,0,4,0.0,
SBcurated.csv,Time manipulation,True,False,0,92,0,4,0.0,
SBcurated.csv,Short Address Attack,True,False,0,95,0,1,0.0,
