Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
SBcurated.csv,Reentrancy,True,True,12,58,17,0,1.0,0.41379310344827586
SBcurated.csv,Access Control,True,True,8,35,39,5,0.6153846153846154,0.1702127659574468
SBcurated.csv,Arithmetic,True,True,0,74,1,12,0.0,0.0
SBcurated.csv,Unchecked Return Values,True,True,29,45,11,2,0.9354838709677419,0.725
SBcurated.csv,DoS,True,True,2,73,10,2,0.5,0.16666666666666666
SBcurated.csv,Bad Randomness,True,True,1,77,5,4,0.2,0.16666666666666666
SBcurated.csv,Front-Running,True,False,0,83,0,4,0.0,
SBcurated.csv,Time manipulation,True,True,4,77,6,0,1.0,0.4
SBcurated.csv,Short Address Attack,True,False,0,86,0,1,0.0,
