Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
SBcurated.csv,Reentrancy,True,True,0,68,15,14,0.0,0.0
SBcurated.csv,Access Control,True,True,3,68,15,11,0.21428571428571427,0.16666666666666666
SBcurated.csv,Arithmetic,True,False,0,84,0,13,0.0,
SBcurated.csv,Unchecked Return Values,True,True,31,47,15,4,0.8857142857142857,0.6739130434782609
SBcurated.csv,DoS,True,True,1,79,14,3,0.25,0.06666666666666667
SBcurated.csv,Bad Randomness,True,True,3,88,3,3,0.5,0.5
SBcurated.csv,Front-Running,True,False,0,93,0,4,0.0,
SBcurated.csv,Time manipulation,True,True,4,78,15,0,1.0,0.21052631578947367
SBcurated.csv,Short Address Attack,True,False,0,96,0,1,0.0,
