Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
JiuZhou.csv,Reentrancy,True,True,0,64,0,3,0.0,
JiuZhou.csv,Access Control,True,True,1,57,0,9,0.1,1.0
JiuZhou.csv,Arithmetic,True,True,0,62,0,5,0.0,
JiuZhou.csv,Unchecked Return Values,True,True,1,60,6,0,1.0,0.14285714285714285
JiuZhou.csv,DoS,True,True,0,59,0,8,0.0,
JiuZhou.csv,Bad Randomness,True,True,0,66,0,1,0.0,
JiuZhou.csv,Front-Running,True,False,0,66,0,1,0.0,
JiuZhou.csv,Time manipulation,True,True,2,63,2,0,1.0,0.5
JiuZhou.csv,Short Address Attack,True,False,0,66,0,1,0.0,
