Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
JiuZhou.csv,Reentrancy,True,False,0,63,0,3,0.0,
JiuZhou.csv,Access Control,True,True,0,56,0,10,0.0,
JiuZhou.csv,Arithmetic,True,False,0,61,0,5,0.0,
JiuZhou.csv,Unchecked Return Values,True,False,0,65,0,1,0.0,
JiuZhou.csv,DoS,True,True,1,55,3,7,0.125,0.25
JiuZhou.csv,Bad Randomness,True,False,0,65,0,1,0.0,
JiuZhou.csv,Front-Running,True,False,0,65,0,1,0.0,
JiuZhou.csv,Time manipulation,True,False,0,64,0,2,0.0,
JiuZhou.csv,Short Address Attack,True,False,0,65,0,1,0.0,
