Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
JiuZhou.csv,Reentrancy,True,True,0,59,4,3,0.0,0.0
JiuZhou.csv,Access Control,True,True,1,54,2,9,0.1,0.3333333333333333
JiuZhou.csv,Arithmetic,True,False,0,61,0,5,0.0,
JiuZhou.csv,Unchecked Return Values,True,True,1,58,7,0,1.0,0.125
JiuZhou.csv,DoS,True,True,3,58,0,5,0.375,1.0
JiuZhou.csv,Bad Randomness,True,True,0,63,2,1,0.0,0.0
JiuZhou.csv,Front-Running,True,False,0,65,0,1,0.0,
JiuZhou.csv,Time manipulation,True,True,2,61,3,0,1.0,0.4
JiuZhou.csv,Short Address Attack,True,False,0,65,0,1,0.0,
