Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
JiuZhou.csv,Reentrancy,True,False,0,60,0,3,0.0,
JiuZhou.csv,Access Control,True,True,5,37,16,5,0.5,0.23809523809523808
JiuZhou.csv,Arithmetic,True,True,4,35,23,1,0.8,0.14814814814814814
JiuZhou.csv,Unchecked Return Values,True,False,0,62,0,1,0.0,
JiuZhou.csv,DoS,True,False,0,55,0,8,0.0,
JiuZhou.csv,Bad Randomness,True,False,0,62,0,1,0.0,
JiuZhou.csv,Front-Running,True,False,0,62,0,1,0.0,
JiuZhou.csv,Time manipulation,True,False,0,61,0,2,0.0,
JiuZhou.csv,Short Address Attack,True,False,0,62,0,1,0.0,
