Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
JiuZhou.csv,Reentrancy,True,True,0,64,0,3,0.0,
JiuZhou.csv,Access Control,True,True,0,57,0,10,0.0,
JiuZhou.csv,Arithmetic,True,True,0,62,0,5,0.0,
JiuZhou.csv,Unchecked Return Values,True,True,0,66,0,1,0.0,
JiuZhou.csv,DoS,True,True,0,59,0,8,0.0,
JiuZhou.csv,Bad Randomness,True,True,0,66,0,1,0.0,
JiuZhou.csv,Front-Running,True,False,0,66,0,1,0.0,
JiuZhou.csv,Time manipulation,True,True,0,65,0,2,0.0,
JiuZhou.csv,Short Address Attack,True,False,0,66,0,1,0.0,
