Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
SolidiFI.csv,Reentrancy,True,False,0,180,0,30,0.0,
SolidiFI.csv,Access Control,True,True,60,0,150,0,1.0,0.2857142857142857
SolidiFI.csv,Arithmetic,True,True,30,30,150,0,1.0,0.16666666666666666
SolidiFI.csv,Unchecked Return Values,True,False,0,180,0,30,0.0,
SolidiFI.csv,DoS,False,False,0,210,0,0,,
SolidiFI.csv,Bad Randomness,False,False,0,210,0,0,,
SolidiFI.csv,Front-Running,True,False,0,180,0,30,0.0,
SolidiFI.csv,Time manipulation,True,False,0,180,0,30,0.0,
SolidiFI.csv,Short Address Attack,False,False,0,210,0,0,,
