Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
SolidiFI.csv,Reentrancy,True,True,40,139,117,0,1.0,0.25477707006369427
SolidiFI.csv,Access Control,True,True,85,25,186,0,1.0,0.31365313653136534
SolidiFI.csv,Arithmetic,True,False,0,251,0,45,0.0,
SolidiFI.csv,Unchecked Return Values,True,True,40,201,55,0,1.0,0.42105263157894735
SolidiFI.csv,DoS,False,True,0,275,21,0,,0.0
SolidiFI.csv,Bad Randomness,False,True,0,251,45,0,,0.0
SolidiFI.csv,Front-Running,True,False,0,255,0,41,0.0,
SolidiFI.csv,Time manipulation,True,True,45,161,90,0,1.0,0.3333333333333333
SolidiFI.csv,Short Address Attack,False,False,0,296,0,0,,
