Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
SolidiFI.csv,Reentrancy,True,True,49,176,118,0,1.0,0.2934131736526946
SolidiFI.csv,Access Control,True,True,39,240,5,59,0.3979591836734694,0.8863636363636364
SolidiFI.csv,Arithmetic,True,True,5,264,30,44,0.10204081632653061,0.14285714285714285
SolidiFI.csv,Unchecked Return Values,True,True,49,229,65,0,1.0,0.4298245614035088
SolidiFI.csv,DoS,False,True,0,335,8,0,,0.0
SolidiFI.csv,Bad Randomness,False,True,0,343,0,0,,
SolidiFI.csv,Front-Running,True,False,0,0,0,0,,
SolidiFI.csv,Time manipulation,True,True,49,195,99,0,1.0,0.3310810810810811
SolidiFI.csv,Short Address Attack,False,False,0,0,0,0,,
