Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
SolidiFI.csv,Reentrancy,True,False,0,260,0,42,0.0,
SolidiFI.csv,Access Control,True,True,7,206,9,80,0.08045977011494253,0.4375
SolidiFI.csv,Arithmetic,True,False,0,255,0,47,0.0,
SolidiFI.csv,Unchecked Return Values,True,False,0,262,0,40,0.0,
SolidiFI.csv,DoS,False,True,0,288,14,0,,0.0
SolidiFI.csv,Bad Randomness,False,False,0,302,0,0,,
SolidiFI.csv,Front-Running,True,False,0,263,0,39,0.0,
SolidiFI.csv,Time manipulation,True,False,0,255,0,47,0.0,
SolidiFI.csv,Short Address Attack,False,False,0,302,0,0,,
