Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
NotSoSmartC.csv,Reentrancy,True,False,0,6,0,1,0.0,
NotSoSmartC.csv,Access Control,True,True,0,3,4,0,,0.0
NotSoSmartC.csv,Arithmetic,False,True,0,3,4,0,,0.0
NotSoSmartC.csv,Unchecked Return Values,True,False,0,6,0,1,0.0,
NotSoSmartC.csv,DoS,True,False,0,7,0,0,,
NotSoSmartC.csv,Bad Randomness,False,False,0,7,0,0,,
NotSoSmartC.csv,Front-Running,True,False,0,6,0,1,0.0,
NotSoSmartC.csv,Time manipulation,False,False,0,7,0,0,,
NotSoSmartC.csv,Short Address Attack,False,False,0,7,0,0,,
