Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
NotSoSmartC.csv,Reentrancy,True,True,0,10,5,2,0.0,0.0
NotSoSmartC.csv,Access Control,True,True,1,12,1,3,0.25,0.5
NotSoSmartC.csv,Arithmetic,False,False,0,17,0,0,,
NotSoSmartC.csv,Unchecked Return Values,True,True,1,12,4,0,1.0,0.2
NotSoSmartC.csv,DoS,True,True,0,12,2,3,0.0,0.0
NotSoSmartC.csv,Bad Randomness,False,True,0,17,0,0,,
NotSoSmartC.csv,Front-Running,True,False,0,16,0,1,0.0,
NotSoSmartC.csv,Time manipulation,False,True,0,14,3,0,,0.0
NotSoSmartC.csv,Short Address Attack,False,False,0,17,0,0,,
