Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
NotSoSmartC.csv,Reentrancy,True,True,2,8,6,0,1.0,0.25
NotSoSmartC.csv,Access Control,True,True,3,7,6,0,1.0,0.3333333333333333
NotSoSmartC.csv,Arithmetic,False,True,0,12,4,0,,0.0
NotSoSmartC.csv,Unchecked Return Values,True,True,0,12,3,1,0.0,0.0
NotSoSmartC.csv,DoS,True,True,0,8,5,3,0.0,0.0
NotSoSmartC.csv,Bad Randomness,False,True,0,16,0,0,,
NotSoSmartC.csv,Front-Running,True,False,0,15,0,1,0.0,
NotSoSmartC.csv,Time manipulation,False,True,0,14,2,0,,0.0
NotSoSmartC.csv,Short Address Attack,False,False,0,16,0,0,,
