Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
NotSoSmartC.csv,Reentrancy,True,True,2,5,5,0,1.0,0.2857142857142857
NotSoSmartC.csv,Access Control,True,True,2,4,5,1,0.6666666666666666,0.2857142857142857
NotSoSmartC.csv,Arithmetic,False,False,0,12,0,0,,
NotSoSmartC.csv,Unchecked Return Values,True,True,0,8,3,1,0.0,0.0
NotSoSmartC.csv,DoS,True,True,0,10,1,1,0.0,0.0
NotSoSmartC.csv,Bad Randomness,False,True,0,12,0,0,,
NotSoSmartC.csv,Front-Running,True,False,0,11,0,1,0.0,
NotSoSmartC.csv,Time manipulation,False,True,0,10,2,0,,0.0
NotSoSmartC.csv,Short Address Attack,False,False,0,12,0,0,,
