Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
Doublade.csv,Reentrancy,True,True,6,52,26,9,0.4,0.1875
Doublade.csv,Access Control,True,True,5,73,0,15,0.25,1.0
Doublade.csv,Arithmetic,False,True,0,79,14,0,,0.0
Doublade.csv,Unchecked Return Values,True,True,23,41,13,16,0.5897435897435898,0.6388888888888888
Doublade.csv,DoS,True,True,7,62,5,19,0.2692307692307692,0.5833333333333334
Doublade.csv,Bad Randomness,False,True,0,91,2,0,,0.0
Doublade.csv,Front-Running,False,False,0,1,0,0,,
Doublade.csv,Time manipulation,False,True,0,62,31,0,,0.0
Doublade.csv,Short Address Attack,False,False,0,1,0,0,,
