Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
Doublade.csv,Reentrancy,True,True,0,79,0,14,0.0,
Doublade.csv,Access Control,True,True,0,85,0,8,0.0,
Doublade.csv,Arithmetic,False,True,0,93,0,0,,
Doublade.csv,Unchecked Return Values,True,True,0,54,0,39,0.0,
Doublade.csv,DoS,True,True,0,67,0,26,0.0,
Doublade.csv,Bad Randomness,False,True,0,93,0,0,,
Doublade.csv,Front-Running,False,False,0,93,0,0,,
Doublade.csv,Time manipulation,False,True,0,93,0,0,,
Doublade.csv,Short Address Attack,False,False,0,93,0,0,,
