Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
Doublade.csv,Reentrancy,True,False,0,77,0,15,0.0,
Doublade.csv,Access Control,True,True,4,68,4,16,0.2,0.5
Doublade.csv,Arithmetic,False,False,0,92,0,0,,
Doublade.csv,Unchecked Return Values,True,False,0,54,0,38,0.0,
Doublade.csv,DoS,True,True,0,66,0,26,0.0,
Doublade.csv,Bad Randomness,False,False,0,92,0,0,,
Doublade.csv,Front-Running,False,False,0,92,0,0,,
Doublade.csv,Time manipulation,False,False,0,92,0,0,,
Doublade.csv,Short Address Attack,False,False,0,92,0,0,,
