Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
Doublade.csv,Reentrancy,True,True,7,46,32,8,0.4666666666666667,0.1794871794871795
Doublade.csv,Access Control,True,True,6,73,0,14,0.3,1.0
Doublade.csv,Arithmetic,False,True,0,76,17,0,,0.0
Doublade.csv,Unchecked Return Values,True,True,25,39,15,14,0.6410256410256411,0.625
Doublade.csv,DoS,True,True,22,35,32,4,0.8461538461538461,0.4074074074074074
Doublade.csv,Bad Randomness,False,True,0,91,2,0,,0.0
Doublade.csv,Front-Running,False,False,0,1,0,0,,
Doublade.csv,Time manipulation,False,True,0,57,36,0,,0.0
Doublade.csv,Short Address Attack,False,False,0,1,0,0,,
