Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
Doublade.csv,Reentrancy,True,True,13,21,57,2,0.8666666666666667,0.18571428571428572
Doublade.csv,Access Control,True,True,20,15,58,0,1.0,0.2564102564102564
Doublade.csv,Arithmetic,False,True,0,41,52,0,,0.0
Doublade.csv,Unchecked Return Values,True,True,39,32,22,0,1.0,0.639344262295082
Doublade.csv,DoS,True,True,22,35,32,4,0.8461538461538461,0.4074074074074074
Doublade.csv,Bad Randomness,False,True,0,81,12,0,,0.0
Doublade.csv,Front-Running,False,False,0,0,0,0,,
Doublade.csv,Time manipulation,False,True,0,50,43,0,,0.0
Doublade.csv,Short Address Attack,False,False,0,0,0,0,,
