Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
Doublade.csv,Reentrancy,True,True,6,45,34,8,0.42857142857142855,0.15
Doublade.csv,Access Control,True,True,8,58,27,0,1.0,0.22857142857142856
Doublade.csv,Arithmetic,False,False,0,93,0,0,,
Doublade.csv,Unchecked Return Values,True,True,19,41,13,20,0.48717948717948717,0.59375
Doublade.csv,DoS,True,True,10,35,32,16,0.38461538461538464,0.23809523809523808
Doublade.csv,Bad Randomness,False,True,0,91,2,0,,0.0
Doublade.csv,Front-Running,False,False,0,93,0,0,,
Doublade.csv,Time manipulation,False,True,0,50,43,0,,0.0
Doublade.csv,Short Address Attack,False,False,0,93,0,0,,
