Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
Doublade.csv,Reentrancy,True,True,12,21,58,2,0.8571428571428571,0.17142857142857143
Doublade.csv,Access Control,True,True,8,17,68,0,1.0,0.10526315789473684
Doublade.csv,Arithmetic,False,True,0,48,45,0,,0.0
Doublade.csv,Unchecked Return Values,True,True,25,33,21,14,0.6410256410256411,0.5434782608695652
Doublade.csv,DoS,True,True,22,30,37,4,0.8461538461538461,0.3728813559322034
Doublade.csv,Bad Randomness,False,True,0,81,12,0,,0.0
Doublade.csv,Front-Running,False,False,0,93,0,0,,
Doublade.csv,Time manipulation,False,True,0,50,43,0,,0.0
Doublade.csv,Short Address Attack,False,False,0,93,0,0,,
