id,DASP,1,2,3,4,5,6,7,8,9,10
060542382a402916ceb3e1bf03cde783,"[8.0, 10.0, 2.0]",0,1,0,0,0.0,0,,1,,1
06c72a09a66dc22c9898ab9ca5cdaae9,"[10.0, 2.0, 4]",0,1,0,1,0.0,0,,0,,1
06e98fd1a644fe1e46ff58974127a1bb,"[1.0, 10.0, 2.0]",1,1,0,0,0.0,0,,0,,1
0761a37c97dccdc9d7f9d036e8588207,"[1.0, 10.0, 2.0, 5.0]",1,1,0,0,1.0,0,,0,,1
07dfae0441fd39d7c11c113600f30091,"[1.0, 2.0, 3, 4.0, 5.0, 8.0, 10.0]",1,1,1,1,1.0,0,,1,,1
081234acd7c565a6692e5ecd767fa464,"[3, 1.0, 2, 10.0]",1,1,1,0,0.0,0,,0,,1
0d8fa90a6d3b16bb345153356933a128,"[1.0, 10.0, 2.0, 4.0]",1,1,0,1,0.0,0,,0,,1
0dbc325aa6f6923e3a4a925e3830c38a,"[1.0, 2.0, 3, 4.0, 5.0, 6.0, 8.0, 10.0]",1,1,1,1,1.0,1,,1,,1
0ddd1c046d2a572672c87f87e287a176,"[1.0, 2.0, 3, 4.0, 8, 10.0]",1,1,1,1,0.0,0,,1,,1
0f77d5a3a5121cabb56b39ee1e11aac4,"[1.0, 10.0, 2.0, 4.0]",1,1,0,1,0.0,0,,0,,1
1277006e5ed70091eab8a8371950f2d1,"[2, 10.0, 4]",0,1,0,1,0.0,0,,0,,1
149203d00c4bb5664dda100d6eb2db6b,"[1, 2.0, 4, 8, 10.0]",1,1,0,1,0.0,0,,1,,1
160b5628c19386cb7ca4da92e9da26f0,"[1.0, 2.0, 3, 6.0, 8.0, 10.0]",1,1,1,0,0.0,1,,1,,1
170efd3c08dd99667ce0bafd8e9ef6e3,"[1.0, 2.0, 3, 5.0, 6.0, 8, 10.0]",1,1,1,0,1.0,1,,1,,1
17186f654d31fa50dc5f33c4eb221a23,"[2.0, 3, 5.0, 8.0, 10.0]",0,1,1,0,1.0,0,,1,,1
17b002d621d0adb10714b85f9514369d,"[2.0, 3, 4, 5.0, 8.0, 10.0]",0,1,1,1,1.0,0,,1,,1
17e45be609e81cb9ee2903336517ba4a,"[10.0, 2.0]",0,1,0,0,0.0,0,,0,,1
188ab807816ab491981f51fb9c18ac69,"[3.0, 10.0, 2.0]",0,1,1,0,0.0,0,,0,,1
1911c4c3b3a9a2814a7b7a52f1de6008,"[1.0, 2.0, 3, 4.0, 5.0, 8.0, 10.0]",1,1,1,1,1.0,0,,1,,1
196fdafa09f4801b6d5ff867976a19c3,"[8, 10.0, 2.0, 6.0]",0,1,0,0,0.0,1,,1,,1
1b15a0a530394a1ff5768af418ebfecc,"[8.0, 3, 2, 10.0]",0,1,1,0,0.0,0,,1,,1
1b3486dac06eb803b92f74b3f15e66e5,"[1.0, 2.0, 3, 8.0, 10.0]",1,1,1,0,0.0,0,,1,,1
1bcbb73f4dd99f5db6ed785dbed8d178,"[1, 10.0, 4]",1,0,0,1,0.0,0,,0,,1
1bd057d453253eb65727796e2634a5a0,"[2.0, 3.0, 4, 5.0, 10.0]",0,1,1,1,1.0,0,,0,,1
1c75347da7163c0e38239167e91113fb,"[1.0, 2.0, 3, 8.0, 10.0]",1,1,1,0,0.0,0,,1,,1
1ce0fc02d1818d9abede82a0d7a27e4b,"[1.0, 2.0, 3, 5.0, 8, 10.0]",1,1,1,0,1.0,0,,1,,1
1cf130ed8e308a1667380df4f5484b8f,"[8.0, 3, 2, 10.0]",0,1,1,0,0.0,0,,1,,1
1d89df53144c08b845b4fc9facfe34ef,"[1.0, 2.0, 3, 4.0, 8, 10.0]",1,1,1,1,0.0,0,,1,,1
1e5b9e324fd9066b6f39c70806045141,"[1, 10.0, 4]",1,0,0,1,0.0,0,,0,,1
1f077783b64869c567cbf82382954b7a,"[2.0, 10.0, 3]",0,1,1,0,0.0,0,,0,,1
1fbdf5bef07a78ed5671d580eaa96918,"[8.0, 2, 10.0, 4]",0,1,0,1,0.0,0,,1,,1
20e59e5e3c572f2ca9615794ce9420af,"[1.0, 10.0]",1,0,0,0,0.0,0,,0,,1
2130c1d63bf4b83ef1554ce5a233ed74,"[2.0, 3, 5.0, 8.0, 10.0]",0,1,1,0,1.0,0,,1,,1
21985a992947eae31639ec0add23d5ab,"[1, 10.0, 4]",1,0,0,1,0.0,0,,0,,1
21b8fffcb1c94110a9972715bd0448ec,"[10.0, 2, 4]",0,1,0,1,0.0,0,,0,,1
22ac04e7328e9ef0e4eef6cb20f7ce20,"[2.0, 10.0]",0,1,0,0,0.0,0,,0,,1
23cdcd6d3e6ea50e02950ca2383949f3,"[1.0, 2.0, 3, 4.0, 8.0, 10.0]",1,1,1,1,0.0,0,,1,,1
246cda85b71ea82251323cce2809dbe3,"[8, 2.0, 10.0, 3]",0,1,1,0,0.0,0,,1,,1
254b01ed37a09e85ceddd48aa6ff12ff,"[1.0, 2.0, 3, 6.0, 8.0, 10.0]",1,1,1,0,0.0,1,,1,,1
25ecaf43663af0ab0868ad0cb3d8e6f9,"[2.0, 3, 6.0, 8.0, 10.0]",0,1,1,0,0.0,1,,1,,1
