Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
Zeus.csv,Reentrancy,True,True,0,313,0,13,0.0,
Zeus.csv,Access Control,False,True,0,326,0,0,,
Zeus.csv,Arithmetic,True,True,0,36,0,290,0.0,
Zeus.csv,Unchecked Return Values,True,False,0,301,0,25,0.0,
Zeus.csv,DoS,True,False,0,187,0,139,0.0,
Zeus.csv,Bad Randomness,True,True,0,250,4,72,0.0,0.0
Zeus.csv,Front-Running,True,False,0,157,0,169,0.0,
Zeus.csv,Time manipulation,False,False,0,326,0,0,,
Zeus.csv,Short Address Attack,False,False,0,326,0,0,,
