Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
Zeus.csv,Reentrancy,True,True,36,138,146,21,0.631578947368421,0.1978021978021978
Zeus.csv,Access Control,False,True,0,125,216,0,,0.0
Zeus.csv,Arithmetic,True,True,0,38,0,303,0.0,
Zeus.csv,Unchecked Return Values,True,True,11,265,50,15,0.4230769230769231,0.18032786885245902
Zeus.csv,DoS,True,True,57,121,76,87,0.3958333333333333,0.42857142857142855
Zeus.csv,Bad Randomness,True,True,9,240,28,64,0.1232876712328767,0.24324324324324326
Zeus.csv,Front-Running,True,False,0,168,0,173,0.0,
Zeus.csv,Time manipulation,False,True,0,240,101,0,,0.0
Zeus.csv,Short Address Attack,False,False,0,341,0,0,,
