Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
Zeus.csv,Reentrancy,True,True,0,219,109,13,0.0,0.0
Zeus.csv,Access Control,False,True,0,244,97,0,,0.0
Zeus.csv,Arithmetic,True,False,0,38,0,303,0.0,
Zeus.csv,Unchecked Return Values,True,True,0,300,15,26,0.0,0.0
Zeus.csv,DoS,True,True,144,28,169,0,1.0,0.46006389776357826
Zeus.csv,Bad Randomness,True,True,8,241,27,65,0.1095890410958904,0.22857142857142856
Zeus.csv,Front-Running,True,False,0,168,0,173,0.0,
Zeus.csv,Time manipulation,False,True,0,240,101,0,,0.0
Zeus.csv,Short Address Attack,False,False,0,341,0,0,,
