Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
Zeus.csv,Reentrancy,True,True,32,140,143,21,0.6037735849056604,0.18285714285714286
Zeus.csv,Access Control,False,True,0,136,200,0,,0.0
Zeus.csv,Arithmetic,True,True,46,36,2,252,0.15436241610738255,0.9583333333333334
Zeus.csv,Unchecked Return Values,True,True,0,290,24,22,0.0,0.0
Zeus.csv,DoS,True,True,7,169,26,134,0.04964539007092199,0.21212121212121213
Zeus.csv,Bad Randomness,True,True,8,243,24,61,0.11594202898550725,0.25
Zeus.csv,Front-Running,True,False,0,167,0,169,0.0,
Zeus.csv,Time manipulation,False,True,0,250,86,0,,0.0
Zeus.csv,Short Address Attack,False,False,0,336,0,0,,
