Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
Zeus.csv,Reentrancy,True,True,0,283,1,57,0.0,0.0
Zeus.csv,Access Control,False,True,0,340,1,0,,0.0
Zeus.csv,Arithmetic,True,True,0,38,0,303,0.0,
Zeus.csv,Unchecked Return Values,True,True,0,299,16,26,0.0,0.0
Zeus.csv,DoS,True,True,2,194,3,142,0.013888888888888888,0.4
Zeus.csv,Bad Randomness,True,True,0,268,0,73,0.0,
Zeus.csv,Front-Running,True,False,0,168,0,173,0.0,
Zeus.csv,Time manipulation,False,True,0,255,86,0,,0.0
Zeus.csv,Short Address Attack,False,False,0,341,0,0,,
