Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
Zeus.csv,Reentrancy,True,True,6,188,96,51,0.10526315789473684,0.058823529411764705
Zeus.csv,Access Control,False,True,0,320,21,0,,0.0
Zeus.csv,Arithmetic,True,True,0,38,0,303,0.0,
Zeus.csv,Unchecked Return Values,True,True,0,299,16,26,0.0,0.0
Zeus.csv,DoS,True,True,8,183,14,136,0.05555555555555555,0.36363636363636365
Zeus.csv,Bad Randomness,True,True,7,241,27,66,0.0958904109589041,0.20588235294117646
Zeus.csv,Front-Running,True,False,0,168,0,173,0.0,
Zeus.csv,Time manipulation,False,True,0,251,90,0,,0.0
Zeus.csv,Short Address Attack,False,False,0,341,0,0,,
